order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:4652,18.50639,-99.79556
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:3508,18.13889,-97.07556
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:9830,17.93361,-99.43345
Chiroptera,Emballonuridae,Rhynchonycteris naso,FCIE:MZFC-M:6437,17.97139,-96.16139
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:3500,18.125,-97.11028
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:0210,17.77722,-99.56139
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:0615,15.80583,-96.01917
Chiroptera,Emballonuridae,Balantiopteryx io,FCIE:MZFC-M:6966,16.8915,-90.95672
Chiroptera,Emballonuridae,Saccopteryx bilineata,FCIE:MZFC-M:6875,16.89822,-90.96458
Chiroptera,Emballonuridae,Balantiopteryx io,FCIE:MZFC-M:6951,16.90097,-90.96939
Chiroptera,Emballonuridae,Balantiopteryx plicata,FCIE:MZFC-M:3507,17.80056,-96.955
Chiroptera,Emballonuridae,Balantiopteryx io,FCIE:MZFC-M:4913,17.89722,-96.13083
