order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:6271,24.31667,-99.06667
Chiroptera,Molossidae,Molossus rufus,FCIE:MZFC-M:0988,17.21639,-100.43361
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:4900,17.94667,-96.16667
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:5708,21.19917,-99.56889
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:0970,17.56806,-99.69278
Chiroptera,Molossidae,Molossus sinaloae,FCIE:MZFC-M:9487,19.08,-101.91278
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:4562,21.20167,-99.57417
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:4851,17.45722,-96.51361
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:1845,21.19389,-99.54306
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:1852,21.21694,-99.58111
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:1889,18.13889,-97.07556
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:7953,24.61917,-101.13389
Chiroptera,Molossidae,Molossus rufus,FCIE:MZFC-M:0802,21.27983,-99.5
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:3652,20.51583,-99.90722
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:7964,25.44778,-100.09694
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:5651,17.56611,-99.68556
Chiroptera,Molossidae,Nyctinomops macrotis,FCIE:MZFC-M:4109,18.50639,-99.79556
Chiroptera,Molossidae,Tadarida brasiliensis,FCIE:MZFC-M:1863,21.135,-99.66833
