order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:5852,20.65556,-98.98417
Chiroptera,Mormoopidae,Mormoops megalophylla,FCIE:MZFC-M:6939,16.90097,-90.96939
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:4951,18.13806,-99.93389
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:10163,18.19194,-102.54139
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:5048,17.38556,-99.47639
Chiroptera,Mormoopidae,Mormoops megalophylla,FCIE:MZFC-M:7920,25.44778,-100.09694
Chiroptera,Mormoopidae,Mormoops megalophylla,FCIE:MZFC-M:5573,18.96972,-99.33917
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:0939,17.925,-88.85778
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:0940,18.33889,-88.58694
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:6198,18.44667,-89.10167
Chiroptera,Mormoopidae,Pteronotus parnellii,FCIE:MZFC-M:4959,19.01861,-99.09917
