order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:0388,16.76583,-98.72
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:4225,18.60694,-99.60667
Chiroptera,Phyllostomidae,Dermanura phaeotis,FCIE:MZFC-M:7122,16.90097,-90.96939
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:5821,20.95167,-98.52167
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:6577,17.10361,-94.1225
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:1265,21.27983,-99.5
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:1183,21.19972,-99.58111
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:1368,17.25833,-100.32667
Chiroptera,Phyllostomidae,Hylonycteris underwoodi,FCIE:MZFC-M:6651,17.52167,-97.78333
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:10170,18.19194,-102.54139
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:1180,21.19389,-99.54306
Chiroptera,Phyllostomidae,Carollia brevicauda,FCIE:MZFC-M:7818,17.07694,-94.59917
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:1680,17.42,-100.20361
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:1732,17.48444,-100.18444
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:0374,17.705,-99.54361
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:4862,17.65083,-96.35722
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:0947,18.34833,-88.61917
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:4720,17.63917,-96.37556
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:10574,18.19167,-100.16222
Chiroptera,Phyllostomidae,Anoura geoffroyi,FCIE:MZFC-M:1017,17.58917,-99.68556
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:0162,18.60028,-95.07556
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:5553,18.96972,-99.33917
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:6344,17.00083,-93.78028
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:1166,21.15583,-99.12694
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:1535,17.56611,-99.64833
Chiroptera,Phyllostomidae,Artibeus phaeotis,FCIE:MZFC-M:1515,18.53694,-88.60139
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:6501,17.53109,-96.82743
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:1209,21.1775,-99.12611
Chiroptera,Phyllostomidae,Artibeus phaeotis,FCIE:MZFC-M:4800,17.89722,-96.13083
Chiroptera,Phyllostomidae,Artibeus watsoni,FCIE:MZFC-M:6918,16.898,-90.97364
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:9762,20.34389,-87.36139
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:7251,20.60714,-99.60867
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:7528,22.12583,-99.42778
Chiroptera,Phyllostomidae,Carollia perspicillata,FCIE:MZFC-M:5166,18.12278,-89.81
Chiroptera,Phyllostomidae,Carollia perspicillata,FCIE:MZFC-M:9853,17.09472,-94.11944
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:1038,21.08333,-99.56667
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:4195,18.50639,-99.79556
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:6638,17.94056,-88.88222
Chiroptera,Phyllostomidae,Macrotus waterhousii,FCIE:MZFC-M:3619,20.66833,-99.860830000000007
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:4872,17.75889,-96.31889
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:0760,21.19917,-99.56889
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:4404,18.06611,-99.90833
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:9905,15.56083,-93.01686
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:7185,16.89822,-90.96458
Chiroptera,Phyllostomidae,Carollia perspicillata,FCIE:MZFC-M:3552,18.3425,-88.56861
Chiroptera,Phyllostomidae,Micronycteris schmidtorum,FCIE:MZFC-M:6305,15.1,-92.78694
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:6676,21.26639,-99.19528
Chiroptera,Phyllostomidae,Macrotus californicus,FCIE:MZFC-M:7426,26.89806,-111.96028
Chiroptera,Phyllostomidae,Carollia brevicauda,FCIE:MZFC-M:5008,17.65194,-96.33583
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:4300,18.92778,-103
Chiroptera,Phyllostomidae,Artibeus toltecus,FCIE:MZFC-M:5668,21.475,-105.00583
Chiroptera,Phyllostomidae,Leptonycteris yerbabuenae,FCIE:MZFC-M:4449,18.58333,-99.51667
