order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Vespertilionidae,Lasiurus cinereus,FCIE:MZFC-M:5693,18.97528,-99.34028
Chiroptera,Vespertilionidae,Myotis keaysi,FCIE:MZFC-M:6980,16.89822,-90.96458
Chiroptera,Vespertilionidae,Lasiurus blossevillii,FCIE:MZFC-M:0787,21.27983,-99.5
Chiroptera,Vespertilionidae,Eptesicus fuscus,FCIE:MZFC-M:4086,17.42,-100.20361
Chiroptera,Vespertilionidae,Eptesicus fuscus,FCIE:MZFC-M:0844,21.1,-99.73333
Chiroptera,Vespertilionidae,Eptesicus fuscus,FCIE:MZFC-M:1507,17.56611,-99.71167
Chiroptera,Vespertilionidae,Lasiurus cinereus,FCIE:MZFC-M:6480,21.13111,-99.53389
Chiroptera,Vespertilionidae,Myotis keaysi,FCIE:MZFC-M:6351,20.40833,-98.20139
Chiroptera,Vespertilionidae,Corynorhinus mexicanus,FCIE:MZFC-M:3649,20.86667,-99.53333
Chiroptera,Vespertilionidae,Lasiurus blossevillii,FCIE:MZFC-M:5625,18.96972,-99.33917
Chiroptera,Vespertilionidae,Lasiurus xanthinus,FCIE:MZFC-M:6380,23.36667,-109.77667
Chiroptera,Vespertilionidae,Lasiurus ega,FCIE:MZFC-M:6381,24.31667,-99.06667
Chiroptera,Vespertilionidae,Antrozous pallidus,FCIE:MZFC-M:5824,20.65556,-98.98417
Chiroptera,Vespertilionidae,Eptesicus fuscus,FCIE:MZFC-M:5948,21.23778,-99.515
Chiroptera,Vespertilionidae,Corynorhinus mexicanus,FCIE:MZFC-M:3646,20.75944,-99.92194
Chiroptera,Vespertilionidae,Corynorhinus townsendii,FCIE:MZFC-M:5630,17.53583,-99.65083
Chiroptera,Vespertilionidae,Myotis thysanodes,FCIE:MZFC-M:1354,17.48444,-100.16417
Chiroptera,Vespertilionidae,Myotis velifer,FCIE:MZFC-M:0622,21.19881,-99.60547
Chiroptera,Vespertilionidae,Idionycteris phyllotis,FCIE:MZFC-M:9425,20.93222,-100.17944
Chiroptera,Vespertilionidae,Eptesicus fuscus,FCIE:MZFC-M:4065,17.34194,-100.25222
Chiroptera,Vespertilionidae,Myotis keaysi,FCIE:MZFC-M:4845,17.63917,-96.37556
Chiroptera,Vespertilionidae,Myotis velifer,FCIE:MZFC-M:4156,18.64861,-99.78694
Chiroptera,Vespertilionidae,Myotis keaysi,FCIE:MZFC-M:1348,17.55861,-99.705
Chiroptera,Vespertilionidae,Lasiurus cinereus,FCIE:MZFC-M:1482,17.56806,-99.69278
Chiroptera,Vespertilionidae,Antrozous pallidus,FCIE:MZFC-M:0629,21.03333,-99.74056
Chiroptera,Vespertilionidae,Lasiurus cinereus,FCIE:MZFC-M:5835,20.37611,-98.38417
Chiroptera,Vespertilionidae,Antrozous pallidus,FCIE:MZFC-M:3611,20.48333,-99.93333
Chiroptera,Vespertilionidae,Corynorhinus townsendii,FCIE:MZFC-M:6436,20.16139,-98.95139
Chiroptera,Vespertilionidae,Corynorhinus mexicanus,FCIE:MZFC-M:0628,21.11778,-99.62306
Chiroptera,Vespertilionidae,Lasiurus blossevillii,FCIE:MZFC-M:4648,18.50639,-99.79556
Chiroptera,Vespertilionidae,Myotis velifer,FCIE:MZFC-M:8058,17.23278,-96.44972
Chiroptera,Vespertilionidae,Myotis californicus,FCIE:MZFC-M:10180,18.19194,-102.54139
Chiroptera,Vespertilionidae,Myotis velifer,FCIE:MZFC-M:5027,18.81417,-99.13667
